NOMBRE,CODIGO_LOCALIDAD
LOS CERECITOS,10
LA FLORA ,05
CAMELIA SUR 4 SECTOR,16
ESCOCIA V SECTOR,07
EL SALITRE,11
DELICIAS DEL CARMEN,01
LOS TEJARES SANTA LIBRADA,05
BOSQUE DE SAN ANTONIO LOTE 8 CRA 36 NO 180-16,01
SECTOR LAS LOMAS BARRIO ISMAEL PERDOMO,19
BARRIO PERDOMO ALTO,19
LOTE BUGANVILES,11
EL PARAISO MANZANA B LOTE 29,02
SIMON BOLIVAR SEGUNDO SECTOR,12
LAS MERCEDES,05
URBANIZACION MANAGUA,04
FABRICA DE LOZA,03
SAN CARLOS DE TIBABUYES,11
EL ANHELO,07
VILLAS DEL PROGRESO,07
HOLANDA III SECTOR,07
BOSQUE EL LIMONAR II,05
EL RUBI,05
LOS PUENTES,04
NUEVA ESCOCIA,07
EL PORTAL I Y II SECTOR,07
"ALQUERIA DE LA FRAGUA, SECTOR VILLA NUEVA",08
ALQUERIA DE LA FRAGUA,08
BARRIO ALTAMAR,08
EL RINCON DEL PORVENIR,19
BELLA VISTA LUCERO ALTO I,19
SAN ISIDRO SECTOR CERRITO III,19
CASA LOMA II,19
PERPETUO SOCORRO II SECTOR,08
VILLA_DE_CALI ANTES DANUBIO AZUL III,07
SAN_GIL,07
"BARRIO SAN DIEGO LA PAZ 4TO, SECTOR",07
LA PAZ SAN IGNACIO SECTOR LA ESPERANZA,07
VILLA CAROLINA,07
MACARENA_LOS_ALPES,04
NUEVA_ESPAÑA,04
ANTENAS 1,04
VALPARAISO,04
NUEVA ESPAÑA PARTE ALTA,04
SAN BLAS II SECTOR,04
EL QUINDIO,04
"URBANIZACION ""LA ASUNCION""",16
EL PORTAL,18
LOS PINOS,04
SAN ISIDRO,02
SUREÑA,02
SECTOR LOS LAURELES,10
BOSA SAN JOSE,07
LAS VEGAS DE SAN JOSE,07
SECTOR TUNA ALTA 2,11
SECTOR TUNA ALTA-A,11
SECTOR TUNA ALTA-B,11
CIUDAD JARDIN NORTE-A,11
VILLAS DEL DIAMANTE,11
SECTOR VILLA ELISA,11
SECTOR TABERIN,11
SECTOR TABERIN 2,11
PREDIO LA TOMA,11
QUINTAS DE SANTA RITA,04
SAN JOAQUIN SECTOR EL LAUREL,10
CALLEJON DE SANTA BARBARA SUR,18
LA CUMBRE SECTOR ARRAYANES,18
VILLAS DE SAN JOAQUIN,19
VILLAS DE BOLIVAR II SECTOR,19
EL TESORITO I B,19
ORQUIDEA SUR 3 SECTOR,05
MIRADOR DE LA ESMERALDA,05
SIERRA MORENA CASA LOMA II,05
FUNDACION PERPETUO SOCORRO,08
SECTOR RINCON EL CONDOR,11
SAN JORGE PARTE ALTA,18
PLAYON,18
DIVINO NIÑO SECTOR LA COLINA,19
TESORO REPUBLICA DE VENEZUELA A,19
BALCONES DE LA ALEGRIA,03
ENGATIVA CENTRO LA TORTIGUA,10
SAN ISIDRO SUR-SECTOR LA ESPERANZA,05
CARLOS ALBAN 78,07
MONTEBLANCO EL PINO,05
CALLEJON DE SANTA BARBARA,18
BRISAS DE BELLA FLOR II SECTOR,19
SAN IGNACIO III,18
SAN BLAS I SECTOR,04
SAN EUGENIO III SECTOR,07
VILLA ANGEL,18
SAN CAYETANO III SECTOR,11
SAN CAYETANO II SECTOR,11
VILLA CASTILLA,08
BRISAS DEL TINTAL,07
LA UNION DIVINO NIÑO,19
BARRIO TUNA ALTA CAMPESTRE 1,11
SALITRE I,11
HOLANDA II,07
MARCO FIDEL SUAREZ PARTE ALTA 2,18
PALERMO SUR SECTOR SAN MARCOS II,18
TESORITO I A,19
RINCON SANTO,09
BUENOS AIRES I,04
SECTOR VILLA GLADYS,10
LOS LACHES,03
LISBOA,11
EL RINCON SECTOR EL CONDOR,11
RUBI,11
TIBABUYES II,11
SAN GERONIMO,11
BELLAVISTA,01
BARRIO SANTA CECILIA NORTE SECTOR BAJO,01
CERROS DEL NORTE,01
BARRIO_BARRANCAS_ALTO,01
MIRAFLORES,11
NARANJOS ALTOS,11
TUNA BAJA III Y IIIA,11
LOTEO LA INOPIA MANZANA 34,10
DESARROLLO DE VIVIENDA LA RIVIERA,10
VILLA TERESITA ,10
EL DORADO ,03
EL PORVENIR,05
LA CONCORDIA 1,08
ALVARO BERNAL SEGURA,19
ISLA DEL SOL,06
MANZANA 43 A-B,11
BARRIO BARCELONA SUR ORIENTAL,04
LAS MERCEDES,04
REPUBLICA DE VENEZUELA,19
PARCELACION BOGOTA,19
LINTERAMA,10
EL PORVENIR,10
BARRIO LA ESTACION SECTOR ARENERAS,07
VILLA ISRAEL II,05
EL ENCANTO,04
URBANIZACION USMINIA,05
PORTAL DE LA VEGA,05
LA PRIMAVERA,19
EL OCAL,11
PUERTA DE TEJA,09
SAN DIONISIO,08
REGULARIZACION PARTE BARRIO MEXICO II,19
SAN ISIDRO,19
BARRIO PALERMO SUR,18
VILLA GLORIA 1,11
EL PROGRESO,11
SAN FELIPE BARRIO CIUDAD JARDIN DEL NORTE,11
LA PERLA OCCIDENTAL,01
JARDIN_NORTE,01
LA URIBE,01
DON BOSCO,01
VILLA DEL CAMPO,11
LA GRANJA II SECTOR,10
PARIS FRANCIA,10
TIBABITA,01
EL CODITO LOTE NO. 8 PREDIO SANTA ROSA,01
MIRADOR DEL NORTE,01
BARRIO PRADO SUR (EL TRIUNFO),11
URBANIZACION BACHUE I ETAPA,10
LOS NARANJOS,11
BARRIO LOS CEREZOS ENTRE CARRERAS 90 Y 89A,10
LA ESPERANZA ,05
COMUNEROS,05
ALMIRANTE PADILLA,05
LA SAGRADA FAMILIA,04
U. VITELMA,04
LA PENINSULA,04
EL PITE,01
VERBENAL II,01
COLMENA,19
URBANIZACION PRADO PINZON INCORPORACION DE BARRIO MANZANAS B Y K,11
CASA BLANCA I,11
NUEVO CORINTO(ANTES LETH WALESA),11
BARRIO PUERTA AL LLANO SECTOR 1,05
BARRIO MEXICO,19
PUERTA AL LLANO,19
VILLA MORALES (ANTES EL EMPERADOR),18
ALTO DE LA TOMA (SUBA),11
PRADOS DEL SALITRE,11
SAN JORGE SUBA,11
SAN ISIDRO NORTE,11
AMBALEMA LOTES Nº 2 Y Nº 3,09
ENGATIVA CENTRO BARRIO LA FAENA,10
URB. VILLA DORADO SAN ANTONIO II SECTOR,10
VILLA TERESITA SECTOR SANTA LUCIA,10
LAS FLORES ,11
VILLA HERMOSA,11
URBANIZACION BRITALIA LOTE SAN RAFAEL NORTE,11
"LOTE Nº 2 DE LA MANZANA ""B"" DE LA PARCELACION ""BRITALIA""",11
BARRIO TIHUAQUE,05
BULEVAR DEL SUR,05
LA HUERTA,05
URBANIZACION SAN BLAS,04
EL PORTAL II ETAPA,05
EL RAMAJAL (SUCESION DE JOSE D.- BARBOSA Y RITA DE BARBOSA,04
BARRIO EL CONSUELO,18
LORENZO ALCANTUZ II SECTOR,05
SAN JOSE DEL PRADO,11
BARRIO LOS ANDES URBANIZACION LA ECONOMICA,11
LA MARIA,07
ARGELIA II,07
EL PORTAL DEL DIVINO,05
PRADO PINZON,11
PRINCIPE DE BOCHICA,18
